Sticker,License,license_page,copyright_year,copyright_name,copyright_user_link
Bobtail,Creative Commons Attribution 2.0 Generic,https://commons.wikimedia.org/wiki/File:American_bobtail_2.jpg,2008,torbakhopper,https://www.flickr.com/photos/gazeronly/7164563744/
Manx,Creative Commons Attribution 2.5,https://en.wikipedia.org/wiki/File:Manx_cat_by_Karen_Weaver.jpg,2006,Karen Slemmer,https://en.wikipedia.org/wiki/User:Karello
Norwegian Forest Cat,Public Domain,https://en.wikipedia.org/wiki/File:Norwegian_Forest_Cat_in_snow_(closeup)_(cropped).jpg,2009,Alexis Jazz,https://en.wikipedia.org/wiki/User:Alexis_Jazz
